|SUL_NO   |SEQ|REV_SEQ|MAT_DESC|GONG_SEQ|GONG_CD|GONG_NM|JACK_SEQ|JACK_CD|JACK_NM   |LAYER|SEQNO|MATNR  |MATNR_NM                               |JAJE_QTY|JAJE_UNIT|WAERS|SPMON  |PRICE |PRICE_01|PRICE_02|PRICE_03|PRICE_04|PRICE_05|IN_PRICE|AMT|RMK                  |AEDAT                  |AEZET                  |REG_EMP|REG_DATE               |
|SM2500113|19 |00     |        |6       |SHE    |쉬스     |1       |       |진공압출      |1    |1    |7640758|반도전PE EZ-3101 BK                       |3,743   |KG       |KRW  |0      |3,120 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.500|
|SM2500113|20 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |2    |1    |7651632|LDPE_SHAPED_FILLER/BK/113.2/65×168.0   |2,215   |M        |KRW  |0      |6,474 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2025.03.28|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.500|
|SM2500113|21 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |2    |2    |7651632|LDPE_SHAPED_FILLER/BK/113.2/65×168.0   |2,215   |M        |KRW  |0      |6,474 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2025.03.28|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.503|
|SM2500113|22 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |2    |3    |7651632|LDPE_SHAPED_FILLER/BK/113.2/65×168.0   |2,215   |M        |KRW  |0      |6,474 |0       |0       |0       |0       |0       |0       |0  |Latest G/R:2025.03.28|                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.507|
|SM2500113|23 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |3    |1    |1287942|CT-NJSEEXX/BRN SL48XX(48T3.80) #1      |127     |M        |KRW  |0      |2,814 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.507|
|SM2500113|24 |00     |        |7       |UST    |연합     |1       |       |이종케이블연합   |3    |2    |1287943|CT-NJSEEXX/BRN SL48XX(48T3.80) #2      |127     |M        |KRW  |0      |3,218 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.510|
|SM2500113|25 |00     |        |7       |UST    |연합     |2       |       |테이핑       |1    |1    |7638257|PBT TAPE 0.19X100 BK                   |250     |KG       |KRW  |202,510|10,400|10,400  |10,400  |10,400  |10,400  |10,400  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.513|
|SM2500113|26 |00     |        |8       |SMA    |해저다중외장 |1       |       |YARN횡권    |1    |1    |7261843|PP YARN 35000DEN BK                    |1,021   |KG       |KRW  |202,510|2,380 |2,380   |2,380   |2,380   |2,380   |2,380   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.513|
|SM2500113|27 |00     |        |8       |SMA    |해저다중외장 |2       |       |도포        |1    |1    |7623389|방식제 BITUMEN 40                         |596     |KG       |KRW  |202,510|1,800 |1,800   |1,800   |1,800   |1,800   |1,800   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.517|
|SM2500113|28 |00     |        |8       |SMA    |해저다중외장 |3       |       |테이핑       |1    |1    |7203846|PET TAPE 0.05X100                      |114     |KG       |KRW  |202,510|3,400 |3,400   |3,400   |3,400   |3,400   |3,400   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.520|
|SM2500113|29 |00     |        |8       |SMA    |해저다중외장 |4       |       |와이어외장     |1    |1    |7620058|PE코팅 아연도철선(65grade) 6.0-8.0            |23,804  |KG       |KRW  |0      |2,036 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:47.520|
|SM2500113|30 |00     |        |8       |SMA    |해저다중외장 |5       |       |도포        |1    |1    |7623389|방식제 BITUMEN 40                         |635     |KG       |KRW  |202,510|1,800 |1,800   |1,800   |1,800   |1,800   |1,800   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.523|
|SM2500113|31 |00     |        |8       |SMA    |해저다중외장 |6       |       |YARN횡권    |1    |1    |7261843|PP YARN 35000DEN BK                    |1,107   |KG       |KRW  |202,510|2,380 |2,380   |2,380   |2,380   |2,380   |2,380   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.523|
|SM2500113|32 |00     |        |8       |SMA    |해저다중외장 |7       |       |도포        |1    |1    |7623389|방식제 BITUMEN 40                         |646     |KG       |KRW  |202,510|1,800 |1,800   |1,800   |1,800   |1,800   |1,800   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.527|
|SM2500113|33 |00     |        |8       |SMA    |해저다중외장 |8       |       |이종YARN횡권  |1    |1    |7261843|PP YARN 35000DEN BK                    |794     |KG       |KRW  |202,510|2,380 |2,380   |2,380   |2,380   |2,380   |2,380   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.530|
|SM2500113|34 |00     |        |8       |SMA    |해저다중외장 |8       |       |이종YARN횡권  |2    |1    |7265247|PP YARN 35000DEN YL                    |343     |KG       |KRW  |202,510|2,580 |2,580   |2,580   |2,580   |2,580   |2,580   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:47.533|
|SM2500122|1  |00     |        |1       |BWD    |신선     |1       |       |신선        |1    |1    |5605673|ALC ARBASKET 1070A 9.5(2.6)            |531     |KG       |KRW  |0      |4,273 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:52.400|
|SM2500122|2  |00     |        |1       |BWD    |신선     |1       |       |신선        |1    |2    |5605673|ALC ARBASKET 1070A 9.5(2.6)            |3,918   |KG       |KRW  |0      |4,273 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:52.403|
|SM2500122|3  |00     |        |1       |BWD    |신선     |1       |       |신선        |1    |3    |5605673|ALC ARBASKET 1070A 9.5(2.6)            |2,131   |KG       |KRW  |0      |4,273 |0       |0       |0       |0       |0       |0       |0  |                     |                       |1970-01-01 00:00:00.000|chlee  |2025-10-29 08:41:52.407|
|SM2500122|4  |00     |        |2       |CST    |연선     |1       |       |수밀원형압축(CP)|1    |6    |7201683|수밀COMPD RZ B-007                       |572     |KG       |KRW  |202,510|9,950 |9,950   |9,950   |9,950   |9,950   |9,950   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:52.410|
|SM2500122|5  |00     |        |2       |CST    |연선     |2       |       |테이핑       |1    |1    |7203287|반도전 양면 S/W TAPE 0.19X60                |123     |KG       |KRW  |202,510|13,900|13,900  |13,900  |13,900  |13,900  |13,900  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:52.413|
|SM2500122|6  |00     |        |2       |CST    |연선     |2       |       |테이핑       |2    |1    |7652427|반도전 편면 차수 직조 TAPE(단면) 0.27X60          |125     |KG       |KRW  |202,510|17,500|17,500  |17,500  |17,500  |17,500  |17,500  |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:52.413|
|SM2500122|7  |00     |        |2       |CST    |연선     |3       |       |테이핑       |1    |1    |7609424|PET TAPE 0.075X80                      |44      |KG       |KRW  |202,510|3,400 |3,400   |3,400   |3,400   |3,400   |3,400   |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:52.417|
|SM2500122|8  |00     |        |3       |INS    |절연     |2       |       |가교내도      |1    |1    |7296445|반도전COMPD LE-0500                       |702     |KG       |USD  |202,510|10    |10      |10      |11      |11      |11      |0       |0  |                     |2025-10-16 00:00:00.000|1970-01-01 11:51:24.000|chlee  |2025-10-29 08:41:52.420|
